Geneid	ENCFF630HEX_Total_RNAseq_K562.bam
RPS15AP12	49
RAB3GAP2	4259
MIR664A	0
SNORA36B	2
AL445435.1	0
KF455155.1	0
MORF4L1P1	124
AURKAPS1	7
XRCC6P3	0
AL451081.2	0
AL451081.1	0
AC096644.4	0
AC096644.3	0
AC096644.2	0
PRELID3BP1	0
AC096644.1	0
MARK1	0
RN7SL464P	0
HDAC1P2	0
C1orf115	0
MARC2	0
MARC1	2
RNU6ATAC35P	0
AL445423.1	0
LINC01352	0
HLX-AS1	6
HLX	82
AL445466.1	0
AL445470.1	0
AL360013.2	0
AL360013.1	0
DUSP10	506
LINC01655	0
RNU6-403P	0
LINC02257	0
LINC02474	0
LINC01705	0
AL356108.1	0
QRSL1P2	0
AL513314.1	1
CICP13	0
AL513314.2	8
RNU6-791P	0
AL592148.2	0
HHIPL2	10
TAF1A	696
TAF1A-AS1	71
MIA3	3777
AL592148.1	1
AL592148.3	10
AIDA	206
BROX	2913
FAM177B	0
AL392172.1	42
AC093152.1	0
DISP1	2
NDUFB1P2	0
TLR5	91
AL359979.2	3
AL359979.1	0
SUSD4	5
RNU4-57P	0
CCDC185	0
CAPN8	0
SNRPEP10	0
RNU6-1248P	0
CAPN2	3687
TP53BP2	2244
PHBP11	25
ACTBP11	7
CICP5	0
GTF2IP20	201
RNU6-1319P	0
AC138393.1	232
AC138393.3	86
AC138393.2	0
RN7SKP49	0
FBXO28	1660
AC092809.3	0
DEGS1	1184
AC092809.2	1
AC092809.4	1
NVL	1820
MIR320B2	1
AC092809.1	0
RNU6-1008P	0
CNIH4	1438
WDR26	1811
MIR4742	0
CNIH3	31
AKR1B1P1	2
AC096537.1	0
AC096537.2	0
AL596330.1	1
AL391811.1	0
DNAH14	1790
LBR	8708
AC092811.1	0
AC092811.2	1
ENAH	9
AC099066.2	0
AC099066.1	0
RNU6-1304P	0
SRP9	4502
AC099066.3	3
EPHX1	83
AL591895.1	10
TMEM63A	1561
LEFTY1	1
AL117348.2	0
PYCR2	3076
MIR6741	0
AL117348.1	0
LEFTY2	1
NDUFA3P3	0
SDE2	3360
AL512343.2	26
H3F3A	419
LINC01703	8
AL512343.1	0
ACBD3	1812
ACBD3-AS1	0
AL592045.1	0
MIXL1	0
LIN9	1430
YBX1P9	0
AL359742.1	0
PARP1	13088
AL359704.2	0
AL359704.1	0
RN7SKP165	0
CDKN2AIPNLP1	0
STUM	1
ITPKB	3
ITPKB-IT1	0
ITPKB-AS1	0
RPS27P5	0
PSEN2	838
COQ8A	1881
AL353689.1	0
CDC42BPA	9267
AL353689.2	0
AL451047.1	0
AL627308.1	0
AL627308.2	24
LINC01641	0
NUCKS1P1	0
AL606462.1	0
BTF3P9	0
AL451054.2	0
AL451054.3	0
TUBB8P10	0
TUBB8P9	1
AL451054.1	1
RNA5SP77	0
ZNF678	809
AL592310.1	0
ZNF847P	0
SNAP47	1392
JMJD4	1477
SNAP47-AS1	0
PRSS38	1
WNT9A	14
MIR5008	0
CICP26	0
SEPT14P17	0
WNT3A	0
AL136379.1	21
ARF1	9367
MIR3620	0
C1orf35	910
MRPL55	1384
FAM96AP2	17
AL359510.2	3
AL359510.1	0
GUK1	3330
GJC2	13
IBA57-DT	5
IBA57	613
OBSCN-AS1	8
OBSCN	962
AL353593.1	10
AL353593.2	5
AL353593.3	0
AL670729.3	1
TRIM11	2017
AL670729.2	0
MIR6742	0
AL670729.1	22
TRIM17	0
HIST3H3	5
RPL23AP15	0
HIST3H2A	3163
HIST3H2BB	1776
MIR4666A	0
HIST3H2BA	0
AL139288.1	8
RNF187	2634
BTNL10	0
RNA5SP19	0
RNA5SP162	0
RNA5S1	0
RNA5S2	0
RNA5S3	0
RNA5S4	0
RNA5S5	0
RNA5S6	0
RNA5S7	0
RNA5S8	0
RNA5S9	0
RNA5S10	0
RNA5S11	0
RNA5S12	0
RNA5S13	0
RNA5S14	0
RNA5S15	0
RNA5S16	0
RNA5S17	0
RNA5SP18	0
DUSP5P1	0
FTH1P2	1
RHOU	0
AL078624.2	0
AL078624.1	0
AL137793.2	0
ISCA1P2	0
AL137793.1	0
AL162595.2	0
TMEM78	0
AL162595.1	110
RAB4A	968
SPHAR	0
AL117350.1	11
CCSAP	788
RNU6-180P	0
RN7SKP276	0
AL160004.2	0
ACTA1	3
NUP133	5914
AL160004.1	0
AL121990.1	4
ABCB10	2385
RNU4-21P	7
RNA5SP78	0
HMGN2P19	0
TAF5L	1448
URB2	2413
AL354983.1	0
HMGB1P26	0
LINC01682	0
LINC01736	0
GALNT2	3838
AL136988.2	0
AL136988.1	0
PGBD5	11
AL133516.1	0
LINC01737	0
AL158214.1	0
COG2	1848
AGT	0
AL512328.1	0
CAPN9	0
RNA5SP79	0
AL118511.2	0
C1orf198	420
AL118511.1	0
RN7SL837P	0
TTC13	653
ARV1	1518
FAM89A	1604
MIR1182	0
AL732414.1	1
AL109810.1	0
TRIM67	93
AL109810.2	3
C1orf131	1204
GNPAT	3468
RNA5SP80	0
EXOC8	930
SPRTN	1175
EGLN1	1455
SNRPD2P2	0
AL445524.1	74
TSNAX	1611
TSNAX-DISC1	0
LINC00582	0
DISC1	7
RNU5A-5P	0
RF02102	0
DISC1-IT1	0
AL353052.1	0
AL353052.2	0
BX323014.1	0
RN7SL299P	0
SIPA1L2	2
RNU6-1211P	0
LINC01745	0
LINC01744	0
MAP10	79
RNU1-74P	0
AL122003.1	0
NTPCR	1013
PCNX2	0
RPS7P3	1
AL133380.1	0
MAP3K21	33
RNU4-77P	0
KCNK1	390
MIR4427	2
AL663058.1	0
SLC35F3	8
RAC1P7	0
AL122008.3	1
AL122008.1	0
AL122008.4	0
AL122008.2	0
MIR4671	0
AL355472.2	2
AL355472.3	0
AL355472.4	0
AL355472.1	109
COA6	1112
TARBP1	1344
LINC01354	0
AL161640.1	0
RF00096	1
IRF2BP2	2007
AL160408.2	6
LINC00184	2
AL160408.5	0
AL160408.1	0
AL160408.4	0
AL160408.3	6
AL160408.6	0
LINC01132	60
AL360294.1	0
RNY4P16	0
RN7SL668P	1
AL391832.1	0
AL391832.2	4
AL391832.3	0
LINC01348	0
AL732292.1	0
AL732292.2	5
TOMM20	12292
SNORA14B	110
RBM34	69
ARID4B	2435
MIR4753	1
RPL23AP23	0
GGPS1	1044
TBCE	2087
AL391994.1	6
AL357556.1	0
AL357556.4	3
RPS21P1	1
B3GALNT2	947
MTCYBP14	0
MTND6P14	0
MTND5P19	0
MTND4P10	0
MTND4LP21	0
MTND3P8	0
MTCO3P46	0
GNG4	5
FO393422.1	0
AL583844.1	0
LYST	156
LDHAP2	0
LYST-AS1	0
MIR1537	0
RNU6-968P	0
AL139161.2	0
AL139161.1	0
NID1	0
AL122018.1	1
GPR137B	20
ERO1B	373
RNU2-70P	0
AL450309.1	0
EDARADD	492
ENO1P1	0
LGALS8	2276
LGALS8-AS1	15
AL359921.2	8
AL359921.1	4
HEATR1	8484
ACTN2	6
MTR	4559
RPSAP21	28
RPL35P1	21
MT1HL1	0
RYR2	71
RN7SKP195	0
MIR4428	0
AL359924.1	0
ZP4	0
AL590396.1	0
AL590396.3	0
AL590396.2	0
AL590396.4	0
MTRNR2L11	0
MTCYBP15	0
MTND6P15	0
MTND5P18	0
YWHAQP9	0
AL356010.1	0
AL356010.2	0
RNU6-725P	0
LINC01139	0
AL359551.1	0
KRT18P32	0
MIPEPP2	0
AL590135.1	0
AC093426.1	0
CHRM3	1
CHRM3-AS2	2
CHRM3-AS1	0
AL356361.2	0
AL356361.1	0
RPS7P5	0
FMN2	2
AL359918.1	1
ADH5P3	0
AL359918.2	0
AL590490.1	0
GREM2	1
AL358176.1	0
AL358176.2	0
AL358176.4	0
AL358176.3	0
RNU5F-8P	0
AL358176.5	0
AL365184.2	0
AL365184.1	1
THAP12P8	0
RGS7	0
RFKP1	0
HNRNPA1P42	1
AL590682.1	1
MIR3123	0
AL592076.1	0
AL359764.1	0
FH	10497
KMO	1
OPN3	565
CHML	6791
WDR64	11
AL365366.1	1
EXO1	5280
RPL23AP20	2
BECN2	0
CFL1P4	0
MAP1LC3C	0
TUBB8P6	0
BX571673.1	0
PLD5	0
AL591686.2	0
RN7SKP12	0
AL591686.1	0
AL360271.2	0
RPL10AP5	0
AL360271.1	0
AC099785.1	0
RSL24D1P4	0
AL445675.1	0
AL445675.2	0
AL603825.1	0
AL606534.3	0
SEPT14P21	0
AL606534.5	0
AL606534.4	4
LINC01347	70
RNU6-747P	0
CEP170	2518
AL606534.1	1
AL606534.2	0
SDCCAG8	999
FCF1P7	0
MIR4677	5
AKT3	8
AL591721.1	0
FABP7P1	0
AL662889.1	0
AKT3-IT1	0
AL591885.1	0
ZBTB18	131
AL590483.3	0
AL590483.1	0
RN7SL148P	0
AL590483.2	0
C1orf100	84
AL645465.1	0
TGIF2P1	7
ADSS	3061
CATSPERE	10
CYCSP5	0
DESI2	3549
AL451007.1	0
AL451007.3	0
AL451007.2	0
COX20	1571
HNRNPU	32334
BX323046.1	16
RN7SKP55	0
RNU6-947P	0
AL356512.1	28
EFCAB2	518
RNU6-1089P	1
RNU6-999P	1
AL589763.1	0
RNU1-132P	0
KIF26B	3
KIF26B-AS1	0
DNAJC19P8	0
AC104462.2	0
AC104462.1	8
SMYD3	4276
AC118555.1	0
AC092801.1	0
CHCHD4P5	0
RNU6-1283P	3
SMYD3-IT1	7
AL356583.1	0
LINC01743	0
AL356583.3	0
AL356583.2	0
TFB2M	1833
CNST	4162
AL591623.1	11
AL591623.2	0
AL591848.3	10
AL591848.2	2
SCCPDH	2607
AL591848.1	0
KIF28P	1
AL591848.4	18
LINC01341	8
AC113174.1	0
AHCTF1	3816
ZNF695	220
ZNF670-ZNF695	18
AL512637.2	0
ZNF670	341
AL512637.1	0
AL627095.1	0
ZNF669	570
C1orf229	10
FGFR3P6	0
ZNF124	2294
AL390728.3	0
AL390728.2	3
AL390728.6	54
AL390728.4	1259
MIR3916	0
RNA5SP82	1
AL390728.5	0
AL390728.1	1
VN1R17P	0
VN1R5	0
ZNF496	2519
NLRP3	1
OR2B11	0
OR2W5	0
GCSAML	8
OR2C3	3
GCSAML-AS1	0
AL606804.1	0
OR2G2	0
OR2G3	0
OR14L1P	0
AL390860.1	0
OR3D1P	0
OR13G1	0
OR6F1	0
AC118470.1	0
OR14A2	0
OR14K1	0
OR1C1	0
OR9H1P	0
OR14A16	0
HSD17B7P1	0
OR6R1P	0
OR11L1	0
TRIM58	430
OR2W3	107
OR2T8	4
OR2AJ1	0
CLK3P2	0
OR2X1P	0
OR2L8	0
OR2AK2	1
OR2L9P	0
OR2L1P	0
OR2L6P	1
OR2L5	0
OR2L2	0
OR2L3	0
OR2T32P	4
OR2L13	0
OR2M1P	0
OR2M5	0
OR2M2	0
OR2M3	0
OR2M4	0
OR2T33	0
OR2T12	0
OR2M7	0
OR14C36	0
OR2T4	0
OR2T6	0
OR2T1	0
OR2T7	0
OR2T2	0
OR2T3	0
AC138089.1	0
OR2T5	0
OR2AS2P	0
OR2G6	0
AC098483.1	0
OR2AS1P	0
OR2T29	0
OR2T34	0
OR2T10	0
AC098483.2	0
OR2T11	0
OR2T35	0
OR2T27	0
OR14I1	0
CR589904.1	16
CR589904.2	1
LYPD8	77
AHCYP8	0
AL672296.1	0
SH3BP5L	1699
MIR3124	6
ZNF672	1570
ZNF692	1502
AL672291.1	0
PGBD2	835
RNU6-1205P	0
RPL23AP25	3
FAM110C	0
AC079779.1	0
SH3YL1	205
ACP1	3760
ALKAL2	0
AC079779.2	5
AC079779.3	0
AC079779.4	0
LINC01865	1
AC105393.2	0
AC105393.1	0
LINC01874	0
AC093326.2	0
LINC01875	0
AC093326.1	0
TMEM18	1005
AC092159.2	1
AC092159.4	0
AC092159.3	0
AC092159.1	0
AC116609.3	2
AC116609.2	0
AC116609.1	0
LINC01115	0
LINC01939	0
AC113607.1	0
AC116614.1	0
SNTG2	0
AC114808.1	0
AC114808.2	0
AC108462.1	0
TPO	0
AC141930.1	0
AC141930.3	0
AC141930.2	0
AC144450.1	0
PXDN	0
MYT1L	2
AC093390.2	0
AC093390.1	0
MYT1L-AS1	0
AC018685.2	0
AC018685.1	0
AC011995.2	0
AC011995.1	0
LINC01250	1
AC019118.2	0
AC019118.1	0
EIPR1	1541
EIPR1-IT1	4
TRAPPC12	1128
TRAPPC12-AS1	0
AC114810.1	0
ADI1	2069
AC231981.1	8
AC108488.1	103
AC108488.2	0
RNASEH1	1846
RNASEH1-AS1	237
RPS7	16395
COLEC11	35
AC010907.2	0
TMSB4XP2	5
ALLC	0
GAPDHP48	0
AC010907.1	0
DCDC2C	0
LINC01304	0
AC012445.1	0
NPM1P48	0
LINC01249	0
RNU6-649P	0
AC073143.1	0
AC107057.1	0
LINC01248	0
AC108025.1	0
SOX11	0
AC108025.2	0
AC010729.1	0
LINC01810	0
LINC01105	0
MIR7158	0
AC017053.1	0
LINC01247	0
PIK3CDP1	0
LINC01824	0
MIR7515HG	0
MIR7515	0
LINC00487	0
NRIR	5
CMPK2	493
RSAD2	54
AC017076.1	0
RNF144A-AS1	39
RNF144A	524
AC068481.1	0
RN7SKP112	0
AC010904.2	0
AC010904.1	0
AC013460.1	0
RNU6ATAC37P	0
AC092580.2	0
LINC01871	0
AC092580.3	0
AC092580.1	0
AC007463.1	0
LINC00298	0
LINC00299	0
U91324.1	0
AC011747.2	0
LINC01814	7
AC011747.1	0
SNRPEP5	1
ID2-AS1	3
ID2	208
KIDINS220	4863
MBOAT2	2600
HMGB1P25	0
RPL30P3	0
AC093904.2	0
AC093904.4	0
AC093904.3	0
AC093904.1	0
ASAP2	246
EIF1P7	1
ITGB1BP1	1024
CPSF3	4822
IAH1	4
ADAM17	2212
AC080162.1	0
AC073195.1	12
YWHAQ	6206
AC082651.1	1
AC082651.4	0
RNU4-73P	0
AC082651.2	0
AC082651.3	0
TAF1B	596
AC010969.2	110
GRHL1	390
AC010969.1	1
AC104794.3	0
AC104794.2	45
KLF11	505
AC104794.4	0
CYS1	1
AC104794.1	0
RRM2	3256
AC007240.1	63
C2orf48	48
MIR4261	0
RN7SL66P	0
HPCAL1	1473
ODC1	23687
SNORA80B	247
AC007249.2	97
AC007249.1	3
NOL10	2435
AC007314.1	0
RN7SL832P	13
AC092687.2	0
ATP6V1C2	3
RNU7-138P	0
AC092687.3	6
PDIA6	11754
RNU7-176P	0
AC092687.1	0
AC079587.1	0
LINC01954	1
KCNF1	0
AC062028.2	0
AC062028.1	3
C2orf50	4
PQLC3	271
ROCK2	3195
RNU6-1081P	0
AC018463.1	0
PPIAP60	0
AC099344.1	0
AC099344.2	0
LINC00570	0
E2F6	915
GREB1	10
RNA5SP84	0
MIR4429	0
RNU2-13P	0
RNA5SP85	0
RN7SL674P	37
NTSR2	0
AC110754.1	0
AC106875.2	0
LPIN1	2451
AC106875.1	3
AC012456.1	0
AC012456.2	7
MIR548S	1
MIR4262	0
MIR3681HG	283
RF00093	0
MIR3681	1
RNU6-843P	0
AC096559.1	1
AC009486.1	2
TRIB2	1411
MIR3125	0
AC064875.1	5
AC073062.1	0
LINC00276	0
AC016730.1	0
RNU6-1288P	0
AC011897.1	0
FAM84A	117
AC068286.1	2
NBAS	8748
AC007738.1	13
AC008278.2	7
DDX1	5266
AC008278.1	0
LINC01804	11
AC113608.2	0
RNU5E-7P	0
AC113608.1	0
MYCNUT	0
MYCNOS	0
MYCN	0
RN7SL104P	0
AC010145.1	0
GACAT3	0
AC130710.1	0
AC174048.1	0
AC010745.1	0
AC010745.2	1
AC010745.3	0
AC010745.5	0
AC010745.4	0
AC010880.1	2
AC104623.1	0
AC104623.2	0
FAM49A	93
AC008164.1	0
AC008069.1	0
LINC01866	0
RN7SKP168	0
ZFYVE9P2	0
PSMC1P10	0
RAD51AP2	3
VSNL1	1
SMC6	4867
GEN1	1849
MSGN1	0
KCNS3	34
AC079148.1	0
RDH14	300
NT5C1B-RDH14	0
NT5C1B	0
RNU6-1215P	0
AC106053.1	0
LINC01376	33
MIR4757	0
OSR1	0
AC010096.1	0
LINC01808	0
AC019055.1	0
CISD1P1	0
LINC00954	1
TTC32	821
AC013400.1	23
WDR35	951
AC079145.1	0
MATN3	0
LAPTM4A	610
AC098828.2	1
AC098828.3	0
AC098828.1	0
RN7SL140P	0
RNU6-961P	0
SDC1	54
AC007041.1	5
RNU7-113P	0
PUM2	1932
SLC7A15P	0
RNA5SP86	0
RHOB	262
AC023137.1	0
AC012065.1	0
AC012065.5	14
HS1BP3	281
AC012065.3	4
HS1BP3-IT1	5
AC012065.2	0
GDF7	0
AC012065.4	5
LDAH	1944
AC012361.1	0
AC115619.1	0
APOB	0
AC010872.1	0
TDRD15	22
AC067959.1	0
AC018742.1	1
AC011752.1	0
NUTF2P8	0
AC009411.2	0
AC009411.1	0
LINC01822	0
RN7SL117P	0
LINC01830	0
AC068490.1	0
AC068044.1	0
AC099799.1	0
RNA5SP87	0
AC096570.1	0
LINC01884	0
RN7SKP27	0
AC018467.1	0
AC012506.1	0
AC012506.3	0
AC012506.2	3
AC012506.4	0
KLHL29	11
AC011239.1	0
AC011239.2	0
AC009242.1	1
ATAD2B	2351
PGAM1P6	10
AC066692.1	0
UBXN2A	1356
SDHCP3	8
RN7SL610P	0
MFSD2B	565
WDCP	1112
RNU6-370P	0
FKBP1B	33
SF3B6	3093
FAM228B	45
TP53I3	198
PFN4	28
AC008073.3	0
AC008073.2	0
FAM228A	0
AC008073.1	0
ITSN2	1548
AC009228.1	0
RF00602	3
HMGN2P20	0
RPL36AP13	1
NCOA1	1623
RNA5SP88	0
RNU6-936P	3
PTRHD1	903
CENPO	1828
ADCY3	1087
AC012073.1	122
DNAJC27	169
AC013267.1	1
RF00016	1
DNAJC27-AS1	22
EFR3B	1
RN7SL856P	0
SUCLA2P3	0
POMC	0
LINC01381	0
DNMT3A	149
MIR1301	0
AC012074.1	0
DTNB	2
AC104699.1	0
ASXL2	884
TPM3P7	9
PTGES3P2	0
AC064847.1	15
NDUFB4P4	0
KIF3C	212
UQCRHP2	0
TRMT112P6	3
RAB10	4771
RNU6-942P	6
AC011742.3	0
AC011742.2	0
SMARCE1P6	1
AC011742.1	0
PPIL1P1	0
GAREM2	201
HADHA	13756
HADHB	4428
ADGRF3	13
SELENOI	3456
DRC1	2
OTOF	5
C2orf70	0
CIB4	0
AC015977.2	0
AC015977.1	0
KCNK3	7
SLC35F6	1402
CENPA	1015
CDKN2AIPNLP2	0
DPYSL5	0
AC013472.2	0
MAPRE3	370
AC013472.1	1
TMEM214	1055
AGBL5	1573
AGBL5-AS1	0
AC013472.3	5
AGBL5-IT1	0
AC013403.2	5
OST4	2677
EMILIN1	117
KHK	279
CGREF1	15
ABHD1	4
PREB	2507
PRR30	0
TCF23	36
AC013403.1	0
SLC5A6	3436
ATRAID	1952
CAD	4060
SLC30A3	19
DNAJC5G	0
TRIM54	1
UCN	17
MPV17	802
GTF3C2	2029
GTF3C2-AS1	0
AC074117.1	178
EIF2B4	1489
SNX17	2469
ZNF513	194
PPM1G	7396
FTH1P3	14
NRBP1	1617
KRTCAP3	18
IFT172	1046
AC074117.2	0
RNU6-986P	1
FNDC4	72
GCKR	12
C2orf16	58
ZNF512	1227
AC074091.1	0
CCDC121	138
GPN1	1473
RF00340	1
SUPT7L	1756
SLC4A1AP	1435
LINC01460	0
MRPL33	1252
RBKS	32
BABAM2	378
AC021171.2	0
MIR4263	4
AC021171.1	1
AC093690.1	0
RPL23AP34	6
AC104695.2	0
FOSL2	139
AC104695.4	4
AC104695.3	0
AC104695.1	0
PLB1	1
SNRPGP7	0
AC074011.1	0
RNA5SP89	0
AC092164.1	4
PPP1CB	2432
SPDYA	21
AC097724.1	0
TRMT61B	448
WDR43	5972
SNORD92	8
SNORD53	10
SNORD53B	12
TOGARAM2	0
C2orf71	0
AC105398.1	0
CLIP4	2
ALK	0
RN7SL516P	0
AC106870.2	0
AC106870.1	0
AC016907.2	1
AC016907.1	0
YPEL5	503
SNORA10B	0
AC104698.1	0
LBH	308
LINC01936	3
AC073255.1	0
LCLAT1	911
AC132154.1	0
CAPN13	0
AC092569.1	0
GALNT14	4
AC009305.1	0
CAPN14	0
RNA5SP90	0
EHD3	9
AL121657.1	0
XDH	0
SRD5A2	0
AL133247.1	1
AL133247.2	0
LINC01946	1
KRT18P52	1
AK2P2	1
AL121652.1	9
MEMO1	64
DPY30	1032
AL121655.1	1
SPAST	2166
AL121658.1	104
SLC30A6	1758
DDX50P1	63
RNU6-647P	0
NLRC4	8
YIPF4	1709
AL133245.1	10
BIRC6	13447
BIRC6-AS1	0
AL133243.2	56
AL133243.3	164
MIR558	4
AL133243.1	7
BIRC6-AS2	0
AL133243.4	73
TTC27	3110
MIR4765	5
LINC00486	1
AL121656.1	0
LTBP1	1362
AL133244.1	0
RNA5SP91	0
RNA5SP92	1
MIR4430	0
RASGRP3	40
AC020594.1	2
FAM98A	993
ATP6V0E1P3	0
HNRNPA1P61	2
LINC01317	6
MYADML	0
SLC25A5P2	0
LINC01318	0
AC068599.1	0
LINC01320	0
AC073218.2	0
AC073218.1	0
AC012593.1	0
RN7SL602P	0
AC019064.1	0
AC013442.1	0
MIR548AD	0
RNU6-1117P	0
AC083939.1	0
MRPL50P1	0
AC009414.1	0
AC009414.2	0
CRIM1	10
AC007378.1	0
FEZ2	973
AC007363.1	0
VIT	1
AC007382.1	51
STRN	2042
RNU6-577P	1
HEATR5B	2085
GPATCH11	1093
EIF2AK2	1044
AC007899.1	0
SULT6B1	0
AC007390.1	0
CEBPZOS	707
CEBPZ	5531
AC007390.2	13
NDUFAF7	744
PRKD3	1474
AC007391.1	1
RNU6-939P	0
QPCT	0
RNU6-1116P	0
AC006369.1	57
CDC42EP3	138
AC006369.2	0
AC010878.1	2
LINC00211	0
RMDN2	95
RMDN2-AS1	0
CYP1B1	0
CYP1B1-AS1	0
AC009229.4	0
AC009229.2	0
RNU6-951P	0
AC009229.3	0
AC009229.1	0
RPL7P12	0
GAPDHP25	0
ATL2	2582
AC011247.1	18
LINC01883	0
RPLP0P6	151
AC011247.3	0
HNRNPLL	3658
AC011247.2	2
GALM	1567
AC074366.1	0
SRSF7	8427
GEMIN6	615
TTC39DP	0
AC018693.2	0
DHX57	825
ASS1P2	3
AC018693.1	0
MORN2	277
RNU6-851P	0
ARHGEF33	4
RN7SL96P	0
AC019171.1	0
SOS1	1250
SOS1-IT1	70
RNU6-198P	0
HSPE1P13	8
CDKL4	18
MAP4K3	1033
AC007684.1	13
AC007388.1	165
TMEM178A	4
THUMPD2	776
SLC8A1-AS1	2
AC007253.1	0
SLC8A1	0
LINC01794	0
HNRNPA1P57	0
LDHAP3	3
AC009413.1	0
RNU4-63P	0
LINC01913	0
LINC01914	1
C2orf91	0
AC013480.1	0
PKDCC	25
AC083949.1	0
EML4	2454
COX7A2L	3303
RF00612	0
KCNG3	1
VDAC1P13	0
AC025750.2	0
MTA3	477
AC025750.1	1
AC074375.1	0
RNU6-137P	0
OXER1	0
HAAO	0
FTOP1	0
AC098824.1	0
AC016735.1	0
LINC01819	5
LINC02590	1
RNU6-242P	0
LINC02580	0
ZFP36L2	431
LINC01126	43
AC010883.1	12
THADA	1974
RNU6-958P	0
RN7SL531P	0
PLEKHH2	230
C1GALT1C1L	43
AC011242.1	0
RN7SKP66	0
DYNC2LI1	562
ABCG5	0
ABCG8	0
LRPPRC	12400
RNU6-1048P	0
RN7SL455P	0
AC019129.1	0
RNU6-566P	0
PDSS1P2	0
AC019129.2	6
PPM1B	1096
RPL12P19	2
SLC3A1	0
PREPL	1945
CAMKMT	169
LINC01833	0
AC012354.3	0
RF02246	0
RF02247	0
RF02248	0
RF02249	0
RF02250	0
RF02251	0
RF02252	0
SIX3-AS1	0
SIX3	0
AC012354.1	0
AC012354.2	0
SIX2	0
AC093702.1	0
LINC01121	1
AC093833.1	0
SRBD1	1263
RN7SL414P	8
PRKCE	12
U51244.1	0
AC017078.1	0
AC017006.2	0
AC017006.1	0
AC016696.1	0
EPAS1	305
LINC01820	45
LINC02583	76
AC016912.1	12
RN7SL817P	0
TMEM247	44
ATP6V1E2	221
AC018682.2	2
RHOQ	518
AC018682.1	0
PIGF	425
CRIPT	416
AC020604.1	3
SOCS5	345
AC016722.3	3
LINC01118	0
LINC01119	2
AC016722.1	0
AC016722.2	0
MCFD2	7839
TTC7A	578
AC093732.2	0
AC093732.1	0
STPG4	0
AC073283.3	0
AC073283.1	2
CALM2	11064
AC106869.1	11
AC073283.2	2
BCYRN1	172
EPCAM	1535
RN7SKP119	1
MIR559	1
MSH2	6854
KCNK12	1
AC138655.1	7
AC079250.1	11
MSH6	7699
AC006509.2	0
AC006509.1	0
FBXO11	986
RPL36AP15	4
RPS27AP7	0
AC079807.1	11
PPIAP62	0
AC092650.1	0
AC092650.2	0
RN7SKP224	0
FOXN2	1641
RNU4-49P	0
AC093635.1	5
PPP1R21	345
RNU6-282P	0
STON1	21
STON1-GTF2A1L	0
GTF2A1L	0
AC073082.1	0
TPT1P11	0
LHCGR	0
ELOBP3	0
AC009975.1	1
CTBP2P5	0
FSHR	0
MIR548BA	0
AC009975.2	0
RNU6-439P	0
AC009971.1	1
RPL7P13	1
RF00072	0
NRXN1	0
MTCO1P42	0
AC009234.1	0
MIR8485	0
AC007560.1	0
AC007402.1	0
KNOP1P3	0
CRYGGP	1
AC097463.2	0
AC097463.1	0
ZNF863P	0
LINC01867	0
AC139712.2	0
AC139712.3	0
AC139712.1	0
FTH1P6	0
MIR4431	0
AC010967.1	0
AC010967.2	0
AC010967.3	0
AC069157.1	0
ASB3	164
RNU6-997P	0
GPR75-ASB3	0
CHAC2	350
ERLEC1	1383
MIR3682	3
GPR75	43
PSME4	2774
ACYP2	79
AC008280.1	0
HMGB1P31	7
AC008280.2	0
AC008280.3	2
RNU7-172P	0
TSPYL6	819
C2orf73	0
SPTBN1	14432
AC092839.1	0
RPL23AP32	0
AC092839.2	0
AC093110.1	0
EML6	16
AC104781.1	0
RNU7-81P	0
RTN4	3973
RNU6-433P	5
CLHC1	201
AC012358.1	9
AC012358.2	27
RPS27A	25999
MTIF2	4796
PRORSD1P	176
AC012358.3	4
CCDC88A	5303
BTF3P5	0
RNU6-775P	0
RNU6-221P	0
RNU6-634P	0
CFAP36	870
PPP4R3B	3734
RF00586	0
AC015982.1	118
PNPT1	3606
EFEMP1	16
RN7SKP208	0
AC011306.1	20
MIR217HG	0
MIR217	0
MIR216A	0
MIR216B	0
LINC01813	0
AC007744.1	0
AC007743.1	0
CCDC85A	2
RNA5SP93	0
PPIAP63	0
AC010738.1	0
AC068276.1	0
RF00592	0
ACTG1P22	0
VRK2	1545
FANCL	1601
AC007250.1	5
EIF3FP3	174
LINC01795	0
LINC01122	32
AC007238.1	14
LINC01793	29
AC007100.1	0
AC007179.2	0
AC007179.1	0
AC007179.3	0
RNU6-508P	0
RNA5SP94	0
AC007381.1	0
MIR4432HG	0
RNU1-32P	0
MIR4432	0
BCL11A	0
AC009970.1	0
RN7SL361P	0
AC012498.2	0
AC012498.1	0
RNU6-612P	0
ATP1B3P1	0
PAPOLG	701
LINC01185	0
RN7SL632P	0
RPL21P33	0
REL	330
RNU4-51P	0
AC010733.2	0
NONOP2	14
AC010733.1	2
PUS10	397
RNA5SP95	0
PEX13	1219
KIAA1841	218
AC016747.4	0
AC016747.1	0
C2orf74	1
AC016747.2	0
AHSA2P	2516
USP34	6613
AC016747.3	0
AC018889.1	0
AC016894.1	6
SNORA70B	2
AC016727.1	48
XPO1	16507
AC016727.2	2
RPS29P10	0
RNU6-1145P	0
AC108039.1	0
RPS24P7	0
AC108039.2	0
FAM161A	23
AC107081.1	2
AC107081.3	0
CCT4	14408
AC107081.2	0
COMMD1	396
AC018462.1	0
